date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2016-05-02,0.000000,0.001576,0.000589,-0.000180,0.000925,0.000405,0.003505,0.013225,0.014202,0.012594,0.034217,0.039836,-0.007320,0.022749,0.010903,0.015831,0.027589,0.035235,0.039467,0.043310,0.026990,0.021396,0.026679,0.023058,0.000241,0.002404,0.004374,0.015371,0.016871,0.023609,-0.001236,-0.000180
2016-05-14,0.000000,0.002439,0.003164,0.001383,0.002314,0.001808,0.005448,0.016109,0.015738,0.014861,0.035902,0.040940,-0.005980,0.024491,0.012514,0.017909,0.029487,0.036678,0.041205,0.043830,0.028406,0.023535,0.027737,0.024466,0.001378,0.004325,0.005091,0.017021,0.018866,0.024920,0.000301,0.001383
2016-05-26,0.000000,0.002826,-0.000166,-0.001084,0.000556,0.001452,0.005832,0.012280,0.012732,0.012198,0.033161,0.039398,-0.007646,0.024152,0.009777,0.015224,0.026607,0.033912,0.038665,0.042304,0.026521,0.021878,0.027104,0.023929,0.001796,0.004204,0.005242,0.016376,0.017875,0.024920,-0.001091,-0.001084
2016-06-07,0.000000,0.001721,0.001886,0.000455,0.001135,0.001401,0.003904,0.013718,0.014280,0.012928,0.034133,0.039548,-0.006016,0.022473,0.011043,0.016227,0.027602,0.034875,0.039079,0.042540,0.026788,0.021529,0.025208,0.021914,-0.000535,0.002059,0.003943,0.013921,0.015114,0.021738,-0.000545,0.000455
2016-07-01,0.000000,0.001803,0.001904,0.000513,0.001169,0.001390,0.003844,0.014206,0.014994,0.013244,0.034519,0.039338,0.003174,0.022396,0.011924,0.016883,0.027874,0.035383,0.039362,0.042508,0.027205,0.021512,0.025264,0.022256,0.000089,0.002693,0.004566,0.015294,0.015987,0.022268,-0.000643,0.000513
2016-07-13,0.000000,0.001336,0.001848,-0.000168,0.001183,0.000712,0.003881,0.014414,0.015148,0.014863,0.035737,0.040195,-0.013449,0.022801,0.012441,0.017667,0.029274,0.036080,0.040387,0.042430,0.027545,0.022137,0.025227,0.022120,-0.000655,0.001787,0.003002,0.014387,0.015063,0.020867,-0.001056,-0.000168
2016-07-25,0.000000,0.001785,0.002084,0.000412,0.001747,0.001787,0.004555,0.014626,0.015233,0.014542,0.035524,0.039824,-0.007315,0.023446,0.011978,0.017255,0.028886,0.035896,0.040009,0.042962,0.028293,0.022495,0.026390,0.022812,0.000126,0.002892,0.004716,0.015870,0.016691,0.022768,-0.000533,0.000412
2016-08-06,0.000000,0.001378,0.001571,0.000021,0.000860,0.000615,0.003382,0.013428,0.014439,0.012749,0.033990,0.038373,-0.004907,0.021413,0.011119,0.016027,0.027175,0.034465,0.038430,0.041573,0.026687,0.020612,0.024596,0.021040,-0.000650,0.001808,0.004282,0.014301,0.015119,0.020863,-0.001174,0.000021
2016-08-18,0.000000,0.001599,0.001460,0.000168,0.001426,0.001294,0.004531,0.013935,0.014805,0.012985,0.034500,0.039261,0.002973,0.023042,0.011466,0.016392,0.027568,0.034999,0.039134,0.042680,0.028165,0.022025,0.026593,0.023084,0.000374,0.002879,0.004563,0.016052,0.017170,0.022971,-0.000760,0.000168
2016-08-30,0.000000,0.001751,0.001627,0.000077,0.002229,0.001873,0.005387,0.014729,0.015340,0.014801,0.035881,0.040479,-0.003250,0.024425,0.012354,0.017591,0.029166,0.036206,0.040330,0.043128,0.029609,0.023847,0.027424,0.024124,0.000753,0.003657,0.004875,0.016994,0.018298,0.023897,-0.000411,0.000077
2016-09-11,0.000000,0.001563,0.001842,0.000295,0.002232,0.001819,0.004909,0.014360,0.014387,0.014167,0.035258,0.039993,-0.009681,0.023714,0.011376,0.016664,0.028312,0.035171,0.039331,0.042377,0.028654,0.022954,0.026966,0.023490,0.000604,0.003170,0.004699,0.016179,0.017403,0.023337,-0.000387,0.000295
2016-09-23,0.000000,0.001291,0.001791,0.000253,0.001759,0.001360,0.004557,0.014374,0.014537,0.013672,0.034858,0.039348,-0.005380,0.022937,0.011622,0.016480,0.027902,0.034946,0.039100,0.042234,0.028157,0.022126,0.026410,0.023127,0.000327,0.003442,0.005212,0.016032,0.017475,0.023362,-0.000547,0.000253
2016-10-05,0.000000,0.001033,0.001693,0.000406,0.001871,0.001236,0.004416,0.014039,0.014570,0.013475,0.034646,0.039463,-0.006296,0.022555,0.011673,0.016540,0.027826,0.034698,0.039361,0.042065,0.027682,0.022016,0.026046,0.022780,0.000272,0.002690,0.004312,0.015552,0.016827,0.022324,-0.000472,0.000406
2016-10-17,0.000000,0.001590,0.001920,0.000963,0.002201,0.002026,0.005121,0.014867,0.014565,0.013895,0.034858,0.039271,-0.000036,0.022750,0.011322,0.016533,0.028120,0.033766,0.039318,0.042039,0.027522,0.021858,0.025990,0.022623,0.000597,0.003632,0.004917,0.016029,0.017118,0.022531,0.000137,0.000963
2016-10-23,0.000000,0.001339,0.003330,0.002026,0.003970,0.003916,0.007175,0.016835,0.016280,0.015898,0.036926,0.041224,0.001482,0.025165,0.012932,0.018622,0.029949,0.035502,0.041609,0.044851,0.029864,0.024473,0.028142,0.024755,0.001917,0.005447,0.006492,0.017979,0.019564,0.024877,0.001637,0.002026
2016-10-29,0.000000,0.001150,0.002908,0.001940,0.002064,0.001358,0.003588,0.015446,0.016163,0.014427,0.035273,0.039221,-0.007545,0.021324,0.012189,0.017658,0.028614,0.034213,0.039506,0.042357,0.026784,0.020628,0.024039,0.021034,-0.000403,0.001633,0.003291,0.013306,0.014156,0.020244,-0.000122,0.001940
2016-11-04,0.000000,0.001971,0.000879,0.000287,0.001512,0.001292,0.004305,0.013230,0.013188,0.012015,0.032980,0.037671,-0.005493,0.021671,0.009193,0.014848,0.025995,0.031794,0.037232,0.040537,0.026478,0.020567,0.024883,0.022118,0.000862,0.003514,0.005153,0.015276,0.016278,0.022781,-0.000150,0.000287
2016-11-10,0.000000,0.002384,0.002723,0.001573,0.003361,0.003047,0.005982,0.016005,0.015866,0.015304,0.035846,0.040045,-0.002857,0.024030,0.012283,0.018128,0.029198,0.034769,0.039890,0.042573,0.028180,0.023267,0.026472,0.023588,0.001570,0.004580,0.005511,0.016399,0.017907,0.023886,0.001084,0.001573
2016-11-16,0.000000,0.001540,0.001832,0.000956,0.002059,0.001350,0.004168,0.014326,0.014578,0.013344,0.033966,0.038540,-0.002667,0.021972,0.010983,0.016613,0.027512,0.032894,0.037684,0.040952,0.026408,0.021129,0.024929,0.022571,0.000502,0.003322,0.004924,0.015116,0.016200,0.022558,-0.000192,0.000956
2016-11-22,0.000000,0.002037,0.001922,0.000974,0.002240,0.001817,0.004959,0.014737,0.015297,0.013937,0.034527,0.038767,-0.004630,0.022760,0.011060,0.016783,0.027709,0.033226,0.038074,0.040793,0.026540,0.021626,0.025485,0.022763,0.001071,0.003794,0.005097,0.015893,0.016598,0.022874,0.000074,0.000974
2016-11-28,0.000000,0.002358,0.001890,0.000931,0.001788,0.001463,0.004398,0.014302,0.015022,0.012986,0.033574,0.037849,-0.002416,0.021644,0.010645,0.015978,0.026648,0.032053,0.036874,0.039623,0.025748,0.020614,0.024468,0.022027,0.000634,0.003427,0.005107,0.015012,0.015746,0.021914,0.000076,0.000931
2016-12-10,0.000000,0.002986,0.001526,0.000683,0.001733,0.001383,0.004436,0.013674,0.014438,0.012873,0.033200,0.037466,-0.002678,0.022019,0.009724,0.015671,0.026486,0.031463,0.035992,0.038082,0.025262,0.020711,0.024446,0.022060,0.000491,0.003341,0.004528,0.014213,0.015545,0.021710,-0.000009,0.000683
2016-12-16,0.000000,0.002500,0.002118,0.001053,0.002362,0.002096,0.004613,0.014319,0.014833,0.012505,0.033072,0.037435,-0.002037,0.021610,0.010586,0.015660,0.026072,0.031483,0.035673,0.037882,0.025150,0.020826,0.024211,0.022082,0.001026,0.003239,0.004544,0.014221,0.015154,0.021013,0.000452,0.001053
2016-12-22,0.000000,0.003075,0.001210,0.000470,0.001472,0.000828,0.004142,0.013487,0.014362,0.012820,0.032697,0.036873,-0.001152,0.021538,0.009937,0.015502,0.026207,0.030715,0.035199,0.036944,0.024292,0.020106,0.023544,0.021926,0.000495,0.003574,0.005110,0.014105,0.015333,0.022037,-0.000363,0.000470
2016-12-28,0.000000,0.002773,0.000685,-0.000185,-0.000106,-0.000301,0.002450,0.011735,0.012900,0.010554,0.030492,0.034765,-0.004906,0.019206,0.008312,0.013819,0.023686,0.028374,0.032610,0.034930,0.022040,0.017713,0.021408,0.019928,-0.000482,0.001917,0.004086,0.012456,0.013433,0.019847,-0.001339,-0.000185
2017-01-03,0.000000,0.003226,0.001716,0.000634,0.001518,0.001135,0.004194,0.013778,0.014269,0.013021,0.032626,0.036724,0.000863,0.021313,0.010062,0.015935,0.026316,0.030737,0.034833,0.036340,0.024362,0.020059,0.023473,0.022031,0.000660,0.003413,0.005069,0.014155,0.015418,0.022332,-0.000341,0.000634
